LossBefore,Data-EnvTrajs-AverageReturn,Iteration,ItrTime,Data-EnvTrajs-StdReturn,Policy-MaxReturn,Data-EnvTrajs-MaxReturn,Policy-AverageAbsPolicyMean,ModelSampler-n_timesteps,Policy-TimeSampling,Policy-MinReturn,Policy-NumTrajs,Policy-AverageReturn,LossAfter,Policy-TimeAlgoOpt,Policy-TimeSampleProc,Policy-AveragePolicyStd,Policy-TimeStep,Data-EnvSampler-PolicyExecTime,Data-TimeEnvSampling,n_timesteps,Data-EnvTrajs-NumTrajs,Time,Data-EnvTrajs-AverageDiscountedReturn,Policy-AverageDiscountedReturn,Data-TimeEnvSampleProc,Data-EnvSampler-EnvExecTime,Model-TimeModelFit,Policy-StdReturn,Data-EnvTrajs-MinReturn
-1.3962102e-05,-70.99965423553253,0,8.406459331512451,23.516454353511346,-361.89536269009113,-46.24303041790019,0.63610184,40000,4.068912029266357,-723.6104269623756,20,-446.6669864363968,-0.015101434,0.9587912559509277,0.3581657409667969,0.97893,5.439417362213135,0.037245750427246094,0.16984915733337402,1000,5,8.406460523605347,-24.722982835529248,-183.2128161645606,0.0005052089691162109,0.12246870994567871,2.7884714603424072,75.48007087097501,-112.37114853671278
-1.3675004e-05,-62.90512968478741,1,8.05891752243042,64.048850595926,-124.52653428912163,52.2379174600102,0.5290202,80000,1.74751877784729,-302.0882384330034,20,-171.19159748069941,-0.013846304,0.6374130249023438,0.5372543334960938,0.9500433,2.987506151199341,0.5952203273773193,0.8415522575378418,2000,5,16.599544525146484,-27.31753164465486,-68.22847324564319,0.0007436275482177734,0.2231616973876953,4.2269299030303955,47.786695032245596,-134.5382558528636
-1.3194066e-05,-61.33192203840237,2,10.260812044143677,21.44884158724424,-160.0681603550911,-38.83188446974502,0.48268783,120000,1.7445638179779053,-244.48743776977062,20,-204.58687695544214,-0.0152259255,0.6865134239196777,0.38786983489990234,0.9054484,2.8630177974700928,0.5390415191650391,0.8383989334106445,3000,5,26.864253520965576,-22.571655707444346,-87.23466033083274,0.0010747909545898438,0.274569034576416,6.553789854049683,24.524616453918263,-95.04510039498523
-1.2774855e-05,-59.321414941527244,3,12.82601284980774,38.75022488503565,111.87167881429195,-20.938985415709077,0.41520894,160000,1.8195698261260986,50.09324632585049,20,75.54504129290581,-0.014313027,0.617807149887085,0.5176334381103516,0.86841327,2.9963395595550537,0.5385088920593262,0.8337838649749756,4000,5,39.6956627368927,-25.369687566085986,30.561565268505355,0.0007433891296386719,0.26793360710144043,8.991116762161255,15.341257016208923,-128.4409020422327
-1.246428e-05,-13.511060166893136,4,14.477522134780884,52.48163477743337,290.23526038229465,61.336865601532104,0.49351802,200000,1.5443015098571777,167.24259757995605,20,230.31883452907203,-0.015702989,0.6710524559020996,0.4040493965148926,0.8425336,2.6498310565948486,0.5066816806793213,0.7956681251525879,5000,5,54.187726974487305,-1.186608680882344,91.5704856590203,0.0009648799896240234,0.2624549865722656,11.028900384902954,27.541351372206734,-82.16351121062134
-1.2185355e-05,-92.0334306517626,5,16.526788234710693,44.35982117391161,138.2711266130209,-37.91285219940813,0.5005744,240000,1.5438320636749268,12.379133239388466,20,86.419861597009,-0.015016433,0.5648980140686035,0.3433544635772705,0.81805503,2.479259729385376,0.5760338306427002,0.8901655673980713,6000,5,70.72253513336182,-37.11454632630769,33.00793080479828,0.0006697177886962891,0.28156590461730957,13.153996229171753,29.68909080952147,-153.76905224582495
-1.1886876e-05,-53.714516852361406,6,19.474783897399902,28.163149161495312,79.14792728424072,-2.989196862826536,0.47240332,280000,1.3745975494384766,-22.531345769762993,20,33.38305595703423,-0.014618357,0.5704197883605957,0.6095921993255615,0.7947209,2.579916000366211,0.6269102096557617,0.9495530128479004,7000,5,90.20583653450012,-25.706781733784634,10.156843845503058,0.0007588863372802734,0.2924675941467285,15.94233775138855,28.869802428541583,-89.7883987134154
-1.1586938e-05,-53.65931606429916,7,21.773777723312378,34.75284972534419,-6.473050802946091,-22.260820918687713,0.46809623,320000,1.5334787368774414,-185.72604861855507,20,-84.64234172869473,-0.016119177,0.572798490524292,0.5282630920410156,0.76969564,2.67399525642395,0.9216310977935791,1.3788363933563232,8000,5,111.98926973342896,-20.266191978421343,-37.938974852286165,0.0009076595306396484,0.4097714424133301,17.717552185058594,39.710410188759454,-107.39524542249444
-1.1341637e-05,-42.02466474300438,8,24.864665746688843,11.6289923511329,66.259012311697,-23.924225532977268,0.45708403,360000,1.5170776844024658,-38.50675417482853,20,10.583893179148436,-0.016704535,0.5771963596343994,0.4326612949371338,0.75349253,2.5794694423675537,0.818150520324707,1.171330213546753,9000,5,136.86777210235596,-22.07052529314398,5.543819898274511,0.0008366107940673828,0.323253870010376,21.11075782775879,25.60883739012374,-57.2364538961268
-1.1154614e-05,-41.80639407772434,9,26.58925986289978,45.96778852987638,-152.00936271250248,15.332333325902596,0.49549723,400000,1.4196536540985107,-308.90556609630585,20,-211.59004357010127,-0.015649296,0.5988261699676514,0.5042362213134766,0.7381411,2.568626642227173,0.9952423572540283,1.4121379852294922,10000,5,163.466295003891,-16.477183948264834,-92.52007465094832,0.0009508132934570312,0.3765749931335449,22.605448007583618,38.37122678804233,-111.70270877692893
