Policy-AverageReturn,Policy-TimeSampleProc,Policy-AveragePolicyStd,Data-TimeEnvSampling,Time,Policy-MaxReturn,Policy-TimeStep,Data-EnvTrajs-MinReturn,n_timesteps,Data-EnvTrajs-NumTrajs,LossAfter,Policy-TimeAlgoOpt,Data-EnvTrajs-AverageDiscountedReturn,LossBefore,Data-TimeEnvSampleProc,Data-EnvTrajs-AverageReturn,Data-EnvSampler-PolicyExecTime,Policy-AverageDiscountedReturn,Data-EnvTrajs-StdReturn,Policy-TimeSampling,Policy-NumTrajs,Data-EnvSampler-EnvExecTime,ItrTime,Data-EnvTrajs-MaxReturn,Model-TimeModelFit,ModelSampler-n_timesteps,Policy-StdReturn,Policy-AverageAbsPolicyMean,Iteration,Policy-MinReturn
-1350.2846900900943,0.5701148509979248,0.9900629,0.1931445598602295,9.845656633377075,-269.01826541963965,6.31381893157959,-6.131743095576629,1000,5,-0.0038160675,1.1401870250701904,0.00827883344835545,-1.4081729e-05,0.0005214214324951172,-1.2755696320391483,0.04266095161437988,-354.18114604191203,3.508204972370331,4.5452961921691895,20,0.13925480842590332,9.845654726028442,4.392164008107806,3.336155414581299,40000,867.9040359389339,0.8659278,0,-3011.6882315799594
15370.10530112108,0.49910545349121094,0.97808826,0.7735247611999512,18.051629066467285,15933.244364022277,2.63217830657959,-4.843824383133771,2000,5,-0.0055657155,0.5236313343048096,1.2389417884792449,-1.3968507e-05,0.0007905960083007812,3.843851841810917,0.5219540596008301,4966.356445281768,11.094285888477872,1.566678762435913,20,0.23033833503723145,8.101771831512451,24.866623519362857,4.693065404891968,80000,530.7056205099557,1.3801773,1,13634.403102774639
7926.545590086794,0.4864318370819092,0.9610122,0.7128152847290039,28.710827827453613,8110.818524368107,2.6283321380615234,-15.80651471210958,3000,5,-0.00215999,0.5968177318572998,-3.222613184059709,-1.3790278e-05,0.0006475448608398438,-10.137150994712998,0.44530463218688965,2925.0468422106146,4.877465624534904,1.5244026184082031,20,0.24530267715454102,10.65332579612732,-1.370921352676349,7.3101184368133545,120000,107.4961356278439,1.8331969,2,7687.9961777227
15304.902569337335,0.5339407920837402,0.9595048,0.6997199058532715,40.866541624069214,15625.525500537828,2.915908098220825,-15.969663627198916,4000,5,-0.006041211,0.5540626049041748,-3.7728809249645594,-1.377705e-05,0.0008568763732910156,-10.363206185919859,0.43596839904785156,4910.45431645194,3.9087590664871668,1.79380464553833,20,0.24236559867858887,12.149997472763062,-6.489328108597533,8.525425672531128,160000,149.79443379552637,1.9846543,3,15058.824939198792
15269.532191405811,0.4431955814361572,0.95710087,0.7016050815582275,55.8180615901947,15722.84862361662,2.6660029888153076,-12.389946802754428,5000,5,-0.004859538,0.5644626617431641,-6.806786892022248,-1.3752391e-05,0.0005829334259033203,-5.900608324715754,0.4248073101043701,4885.748105066617,11.48523614219086,1.6384351253509521,20,0.25534653663635254,14.94404673576355,17.046726336824587,11.572611093521118,200000,244.8149261473352,2.3518379,4,14735.658967610449
16691.039046781043,0.471996545791626,0.94092363,0.7614486217498779,72.46514797210693,16961.802334902808,2.736236810684204,-13.195546687906244,6000,5,-0.0055413004,0.569718599319458,-2.781762515203734,-1.3551381e-05,0.0009913444519042969,-9.014887016469384,0.46887636184692383,5836.627577830031,4.010888390644123,1.6427812576293945,20,0.2681162357330322,16.639330625534058,-2.187336035384391,13.137131929397583,240000,131.46619032786023,2.5381005,5,16428.93830522988
15969.621887805853,0.3211069107055664,0.9415201,0.9099688529968262,91.02373003959656,16275.516832437366,2.5428974628448486,-12.335449443376694,7000,5,-0.0035103804,0.6120519638061523,-2.795392981273507,-1.3550923e-05,0.0010471343994140625,-9.556138765786542,0.5650594234466553,5336.490096654747,2.6280182395217935,1.5972318649291992,20,0.3174107074737549,18.547728776931763,-5.8548543942764155,15.090849876403809,280000,163.25841080189477,2.7376297,6,15606.066040193662
6572.091319779929,0.5537276268005371,0.9444241,1.0172953605651855,112.23290228843689,15358.92152356729,2.396914005279541,-7.303197333916147,8000,5,-0.0038374483,0.4708068370819092,-3.0397579397607624,-1.3581904e-05,0.0008172988891601562,-6.8174752980152675,0.6673333644866943,1476.5030907897751,0.5065614860553274,1.338512659072876,20,0.32120633125305176,21.202614784240723,-6.1211141321770395,17.786036252975464,320000,3986.8803570293167,3.1191394,7,-49.5535501614213
15565.383965560328,0.41121983528137207,0.9463075,1.1060242652893066,135.98303627967834,15803.571670511737,2.6342599391937256,-8.095990019157208,9000,5,-0.0053743566,0.5427341461181641,-3.0499782112233675,-1.3553972e-05,0.0010917186737060547,-6.606767954668307,0.7117111682891846,5069.922778756101,1.112774445607662,1.6389837265014648,20,0.36364126205444336,23.7451434135437,-5.5219610789619615,20.00043773651123,360000,113.74110343162057,2.6452794,8,15326.911827743053
15824.956345633651,0.35091590881347656,0.9391775,1.1963350772857666,161.6713662147522,15991.828781295568,2.566340446472168,-6.830127520856876,10000,5,-0.0055637835,0.5915441513061523,-2.642557818832036,-1.3486063e-05,0.0010173320770263672,-5.860963917924953,0.7728366851806641,5239.366057440639,0.8166531502158241,1.5940041542053223,20,0.3907289505004883,25.678216218948364,-4.949685588950459,21.911850214004517,400000,94.79084581310967,2.879611,9,15601.320568976924
