Data-EnvTrajs-AverageDiscountedReturn,Data-EnvTrajs-MaxReturn,ItrTime,Data-TimeEnvSampling,ModelSampler-n_timesteps,Policy-AverageReturn,LossAfter,Policy-TimeSampling,Data-EnvTrajs-StdReturn,Data-EnvTrajs-NumTrajs,Iteration,Time,Policy-TimeStep,Policy-MinReturn,Data-EnvSampler-EnvExecTime,LossBefore,Policy-AverageDiscountedReturn,Data-EnvTrajs-MinReturn,n_timesteps,Policy-TimeAlgoOpt,Data-EnvTrajs-AverageReturn,Policy-TimeSampleProc,Model-TimeModelFit,Policy-StdReturn,Policy-NumTrajs,Data-EnvSampler-PolicyExecTime,Policy-AveragePolicyStd,Policy-MaxReturn,Data-TimeEnvSampleProc,Policy-AverageAbsPolicyMean
-74.6931851565871,-215.76712829714538,13.58300256729126,0.3531177043914795,40000,-5380295.806049943,-0.0073199267,6.707913160324097,41.42814307053771,5,0,13.58300495147705,8.60574221611023,-5435915.739273548,0.27756357192993164,-1.3905411e-05,-2091097.6123120245,-325.4237945061371,1000,1.3081555366516113,-277.3949675862635,0.5611610412597656,4.6214210987091064,33488.25814908582,20,0.05973172187805176,0.97253597,-5302257.315268278,0.0008234977722167969,0.7972223
42.407508635613986,-62.618567902092614,9.063043355941772,1.1925947666168213,80000,-4838849.921403221,-0.0070505734,1.4937036037445068,22.268222700991714,5,1,22.797377586364746,2.6500673294067383,-5245263.131382555,0.4303281307220459,-1.35675455e-05,-1677160.8901593261,-130.20564892786592,2000,0.5868062973022461,-93.04534966960071,0.5299117565155029,5.217129945755005,237285.41514206454,20,0.7318601608276367,0.9391929,-4539256.332517773,0.0011415481567382812,0.96204996
-120.4248053725396,-322.02759156222015,9.199314594268799,0.7151000499725342,120000,-3510007.7515755743,-0.0036580446,1.422196865081787,44.70358107979832,5,2,32.002654790878296,2.534118890762329,-4954437.854053557,0.28000664710998535,-1.3333563e-05,-1015372.4921018999,-441.8501528519633,3000,0.5929734706878662,-367.2925757765899,0.46290016174316406,5.946412086486816,1147225.9284397347,20,0.41385340690612793,0.91770566,-1131364.1625860333,0.0005521774291992188,0.7591426
-149.8538207042687,-459.15565383873957,11.264761209487915,0.7319822311401367,160000,-4331279.989070401,-0.0033870072,1.5818092823028564,24.107380133755484,5,3,43.27477788925171,2.6635143756866455,-5084753.601424307,0.2852206230163574,-1.3327552e-05,-1377943.7020807108,-521.3757327032955,4000,0.6303849220275879,-492.8330702783645,0.42026519775390625,7.866372346878052,601000.6691844307,20,0.42456650733947754,0.91847,-3369624.338555753,0.0009005069732666016,0.9568377
-133.6264186616924,-313.37100211820217,19.84201669692993,0.7723455429077148,200000,-763358.9944285012,-0.007801532,2.3128209114074707,57.4052360781224,5,4,63.123900413513184,4.005925893783569,-4487403.767941833,0.30405211448669434,-1.3308112e-05,-175015.3709313308,-472.3488269676232,5000,0.8055002689361572,-410.83602627690954,0.8513007164001465,15.06054139137268,1190818.8779643131,20,0.4450418949127197,0.9141164,-340.2958579957485,0.0009393692016601562,0.71475244
-108.54995037966441,-291.7085745041211,17.23556423187256,1.0372035503387451,240000,-162202.08768063335,-0.009466268,1.334195613861084,44.09771592577962,5,5,80.36449980735779,2.575772285461426,-2463931.1192607433,0.41089916229248047,-1.3082522e-05,-31691.876654638625,-410.26225059118025,6000,0.57820725440979,-323.04329757162765,0.5671985149383545,13.619884729385376,536885.9339558325,20,0.5962004661560059,0.89501446,-285.91446393728256,0.0012316703796386719,0.5416228
-122.26783632887604,-233.77845172798712,17.08256459236145,0.6446480751037598,280000,-3138865.3094944726,-0.0044712406,1.6092069149017334,64.47767714580858,5,6,97.45706939697266,2.774056911468506,-4546381.267215967,0.2620525360107422,-1.3058363e-05,-828443.7819988283,-433.66267437685957,7000,0.6709334850311279,-325.04299231970435,0.44769740104675293,13.658705234527588,1025791.292170136,20,0.36274003982543945,0.89357066,-746230.8259271383,0.0010099411010742188,0.69397575
-132.0884231219819,-365.9376649547738,29.765331268310547,0.6875572204589844,320000,-375.7649571120739,-0.006451678,2.2266974449157715,33.19150968336178,5,7,127.2298583984375,3.906369924545288,-477.39195796847343,0.28495001792907715,-1.2897948e-05,-134.24034611802384,-457.9350400132828,8000,0.8370590209960938,-410.8885590490594,0.7956991195678711,25.168088912963867,51.158382316640434,20,0.38144874572753906,0.8788658,-288.0352072119713,0.00092315673828125,0.5020585
-115.14080559700008,-266.7559425019734,22.713746786117554,1.1155555248260498,360000,-4063562.705738342,-0.0038218282,1.6933910846710205,68.31860504672336,5,8,149.95036554336548,2.7678964138031006,-4263433.980342761,0.4646275043487549,-1.2778483e-05,-1193669.5614219715,-454.953393966617,9000,0.6071755886077881,-400.1832378167623,0.41876721382141113,18.826921701431274,225871.32613044267,20,0.6185109615325928,0.86812466,-3189670.7751197517,0.0012745857238769531,1.1043645
44.46153998760679,274.0321079592251,30.425803422927856,0.6809515953063965,400000,-38158.74704786837,-0.0055528497,2.1562817096710205,186.27376699989776,5,9,180.38882565498352,3.8637287616729736,-381497.2455226779,0.28881335258483887,-1.2835964e-05,-5487.2549515972405,-248.02312469664432,10000,0.7476997375488281,80.01586387835084,0.9050402641296387,25.87831735610962,107216.12980798983,20,0.37091064453125,0.8733946,-227.7499822974205,0.0008637905120849609,0.52921945
