Policy-TimeSampling,Data-EnvTrajs-MinReturn,Data-EnvTrajs-StdReturn,Policy-AverageReturn,Policy-MinReturn,Policy-TimeStep,Model-TimeModelFit,Policy-AverageAbsPolicyMean,Iteration,Policy-AverageDiscountedReturn,Data-EnvSampler-EnvExecTime,Policy-MaxReturn,LossAfter,n_timesteps,Time,Data-EnvSampler-PolicyExecTime,ModelSampler-n_timesteps,LossBefore,ItrTime,Data-EnvTrajs-NumTrajs,Policy-TimeSampleProc,Data-EnvTrajs-AverageReturn,Policy-AveragePolicyStd,Data-TimeEnvSampleProc,Policy-StdReturn,Data-EnvTrajs-MaxReturn,Data-EnvTrajs-AverageDiscountedReturn,Data-TimeEnvSampling,Policy-NumTrajs,Policy-TimeAlgoOpt
4.677364110946655,-339.53202834629815,71.7518100418624,-5277423.40797532,-5370657.58575356,6.1419665813446045,3.0685977935791016,0.35547185,0,-2005336.7808141548,0.18810796737670898,-5119747.288891196,-0.00854748,1000,9.451554298400879,0.03961443901062012,40000,-1.3817618e-05,9.451552391052246,5,0.4313638210296631,-261.2514545252607,0.9629686,0.00044798851013183594,57557.49458395497,-166.71902495900957,-71.07152588682212,0.23845672607421875,20,0.9956042766571045
1.673433780670166,-341.99679570298497,62.85691120119829,-5196950.417303783,-5263459.691044033,2.7292003631591797,4.356785297393799,0.55759305,1,-1939970.1556996405,0.2749471664428711,-5094189.736553669,-0.0025541908,2000,17.545073986053467,0.5232679843902588,80000,-1.35467035e-05,7.907185077667236,5,0.48384594917297363,-276.4922933541519,0.937692,0.0007641315460205078,42932.93324084993,-160.29500242375562,-62.22463425865908,0.8182511329650879,20,0.5286769866943359
1.6677427291870117,-442.6982874605553,67.90076161306206,-3048614.330693749,-4646636.814304888,2.7415709495544434,6.366758823394775,0.4008405,2,-767255.7811824654,0.3655843734741211,-1904959.7521539778,-0.0052949633,3000,27.59653353691101,0.5438687801361084,120000,-1.3373771e-05,10.046442031860352,5,0.470548152923584,-367.8770113047964,0.9216095,0.0008997917175292969,778541.7405990574,-246.87046150198287,-108.7181953979629,0.9354734420776367,20,0.5659024715423584
1.7146790027618408,68.57241012647435,65.07198157097302,-86944.39363781996,-1706480.1070940346,2.839395523071289,8.61601209640503,0.32062945,3,-15930.446759958537,0.3328828811645508,-239.52665930986404,-0.008739675,4000,39.92656755447388,0.5061159133911133,160000,-1.3186351e-05,12.325272798538208,5,0.4570159912109375,140.18148233472022,0.90443945,0.0009148120880126953,371584.6760401,236.11823260051656,94.53121183210386,0.8646600246429443,20,0.6383316516876221
1.5767650604248047,-142.40037241348367,130.32963348897067,-3604930.4092716374,-4964464.081603348,2.6796512603759766,10.524326801300049,0.529393,4,-1122128.0526789378,0.32859230041503906,-1138191.622069627,-0.0038721825,5000,53.937838077545166,0.44292354583740234,200000,-1.2979137e-05,14.003512382507324,5,0.49492406845092773,49.60686111407697,0.88750356,0.0008788108825683594,1496254.1277404395,266.04778489496425,61.267751978836216,0.7960975170135498,20,0.5557694435119629
1.7567076683044434,-361.70358836193884,41.676732057978505,-1770327.7817384005,-4682145.9231933355,2.760709762573242,12.705816745758057,0.5195925,5,-536211.3051067975,0.32514309883117676,-472.9322267770767,-0.0069941645,6000,70.19945883750916,0.4324371814727783,240000,-1.2870552e-05,16.253535509109497,5,0.3990910053253174,-303.0014552036678,0.87667876,0.0006709098815917969,2058281.4529173535,-241.7901403645688,-73.53545091580875,0.7807016372680664,20,0.5796334743499756
1.5475099086761475,-437.65276270570274,16.653092642053604,-792.0288990780712,-952.8928208947182,2.8457424640655518,14.631463766098022,0.48920056,6,-306.864052153013,0.2934134006500244,-543.4424195885658,-0.004263556,7000,88.41970562934875,0.4183351993560791,280000,-1.2738072e-05,18.21305227279663,5,0.721113920211792,-407.87061791135494,0.864038,0.00054931640625,120.35694356518724,-386.8162471760596,-127.24888774845081,0.7329840660095215,20,0.5282971858978271
1.5862350463867188,-356.7282120508217,8.37830314032643,-110659.4297183305,-2195207.5661542416,2.710808753967285,17.390177488327026,0.5162102,7,-22335.882111682407,0.28020787239074707,-820.3842063546181,-0.005200248,8000,109.19755625724792,0.3690826892852783,320000,-1.2613877e-05,20.773772478103638,5,0.4866774082183838,-348.9438434682321,0.8547168,0.0009021759033203125,478228.14356320107,-333.3452724662392,-98.46436455784574,0.6701450347900391,20,0.5739827156066895
1.7844834327697754,-205.28538789165157,64.80704774788869,-806.2467664390803,-1072.893945246935,2.9505882263183594,18.586644887924194,0.525118,8,-258.7408815571559,0.3138091564178467,-685.010747730732,-0.0037437538,9000,131.50301098823547,0.42007970809936523,360000,-1.2568753e-05,22.295621395111084,5,0.545560359954834,-113.84211834351458,0.85195994,0.0005784034729003906,93.29146457985829,-13.857489513510394,-8.741470672516481,0.7558550834655762,20,0.5722560882568359
1.5807867050170898,-326.6118565843598,75.70895177291436,-478.76052740588784,-577.3948175013065,2.7317094802856445,20.783219814300537,0.4964996,9,-135.80245817754616,0.3078293800354004,-275.8535330593586,-0.0054521654,10000,155.75234055519104,0.3976764678955078,400000,-1.2563092e-05,24.245827436447144,5,0.4403536319732666,-227.61494400867377,0.84988946,0.0009326934814453125,80.26786095581511,-107.87113711346326,-42.319867353348016,0.7275147438049316,20,0.6649956703186035
