LossBefore,Data-EnvTrajs-MaxReturn,Policy-TimeStep,Policy-MinReturn,Policy-TimeAlgoOpt,Data-EnvSampler-EnvExecTime,ItrTime,Data-EnvTrajs-MinReturn,Model-TimeModelFit,Policy-MaxReturn,LossAfter,Data-EnvTrajs-NumTrajs,Policy-AverageDiscountedReturn,Policy-AverageAbsPolicyMean,n_timesteps,Policy-NumTrajs,Data-TimeEnvSampleProc,Data-EnvTrajs-AverageReturn,Policy-AveragePolicyStd,Policy-TimeSampling,Time,Data-EnvTrajs-AverageDiscountedReturn,Data-TimeEnvSampling,Iteration,Policy-TimeSampleProc,Data-EnvSampler-PolicyExecTime,Data-EnvTrajs-StdReturn,Policy-StdReturn,ModelSampler-n_timesteps,Policy-AverageReturn
-1.40944785e-05,1.4798502572320034,6.092071533203125,-2017.8340122088557,1.1506671905517578,0.13623833656311035,9.50749921798706,-5.88380227935408,3.223811388015747,-371.6550213061273,-0.0059926123,5,-214.75432489562755,0.94323266,1000,20,0.0005440711975097656,-0.7638574272734937,0.9911852,4.468093156814575,9.507499694824219,0.13375071933716032,0.1893138885498047,0,0.432603120803833,0.04188871383666992,2.7967173748217653,445.20274717127467,40000,-766.8166429653866
-1.4037554e-05,-5.260596205079141,2.6132125854492188,-3803.5673451507464,0.5990726947784424,0.2287461757659912,8.029605150222778,-15.711483891092554,4.6645097732543945,74.97220475401264,-0.0031263817,5,-326.39845930587626,0.49147847,2000,20,0.0006411075592041016,-10.197808984600194,0.98485,1.4545996189117432,17.705779552459717,-5.643631029491257,0.7474703788757324,1,0.5233631134033203,0.49872779846191406,3.5267207373571257,1512.722117776318,80000,-1395.0144893046988
-1.37300985e-05,5.119780613128631,2.6939971446990967,-403.3028516944905,0.5390269756317139,0.2512319087982178,10.207050323486328,-7.185627591611705,6.7085442543029785,506.42431780020706,-0.0037698385,5,35.25243958594838,0.46063077,3000,20,0.0006067752838134766,-1.7577767122966865,0.95669997,1.6742603778839111,27.91830849647522,-0.5204896405723761,0.7968990802764893,2,0.4151482582092285,0.5208806991577148,4.026952591454637,276.94777720681947,120000,165.9249845242899
-1.3673964e-05,18.73934769385778,2.793412446975708,-931.5134549648501,0.6100869178771973,0.27646493911743164,13.29441237449646,4.442607010100334,9.671041011810303,798.7116462631384,-0.0016730574,5,124.76396073620997,0.93080163,4000,20,0.0005903244018554688,12.782481060263748,0.94982994,1.6835882663726807,41.221550941467285,4.797034735791656,0.8274106979370117,3,0.42333984375,0.5213131904602051,5.222845124223678,468.9542833531906,160000,417.62441150473023
-1.3649209e-05,26.277710170003576,3.0269343852996826,-1207.2405379988195,0.612328290939331,0.31195592880249023,15.59560489654541,17.859632162780873,11.63702130317688,141.54410698032007,-0.0023889588,5,25.68357256460506,0.75932276,5000,20,0.0009477138519287109,21.74774503807567,0.9451246,1.8938426971435547,56.823675870895386,12.1086596846005,0.9284114837646484,4,0.4911465644836426,0.5895962715148926,2.8413771295261303,286.635634518967,200000,22.80963280416763
-1.3641185e-05,27.431280382831527,2.6991565227508545,2251.4193566911854,0.6033670902252197,0.33205246925354004,16.716464042663574,22.780033931340405,12.972279787063599,3316.1381061971188,-0.006518801,5,663.6288493162513,1.204441,6000,20,0.0009474754333496094,25.28169266691779,0.94517446,1.6463813781738281,73.54751110076904,14.218536460507584,1.0327792167663574,5,0.42836809158325195,0.6389765739440918,1.4856864576490454,217.34981790971517,240000,2860.455485260706
-1.3589418e-05,31.667727645576612,2.6999497413635254,-248.22303073166404,0.570392370223999,0.2982625961303711,19.804962873458862,24.203711388868374,16.202744722366333,75.5705307405442,-0.0017729156,5,13.959870422158279,0.9808994,7000,20,0.0009965896606445312,29.00167026549506,0.9418668,1.6110424995422363,93.35837173461914,20.634122995508285,0.8987898826599121,6,0.4681718349456787,0.5740787982940674,2.6106351266972605,94.26611133169584,280000,7.8846297245465395
-1.3344945e-05,28.25729141098754,2.7490527629852295,15.612129523418844,0.5532686710357666,0.31964921951293945,22.410818099975586,22.446702538386578,18.686556816101074,152.46073994413018,-0.0043615825,5,46.46936364120336,0.57214177,8000,20,0.0009894371032714844,24.857679899325426,0.92151535,1.5614902973175049,115.79491066932678,17.98861324734509,0.9715249538421631,7,0.5936479568481445,0.6211881637573242,2.2429599824309197,28.136334473986665,320000,108.91658296790119
-1.2891305e-05,30.763153500792033,2.835280418395996,1656.4585060889367,0.6056711673736572,0.33923792839050293,24.409481287002563,9.781590058145682,20.553627729415894,1834.206063190475,-0.0043224082,5,512.33734875395,0.593938,9000,20,0.0009708404541015625,18.974326624435484,0.8791151,1.757638931274414,140.21283721923828,13.53201895922675,1.0163404941558838,8,0.44264674186706543,0.6456224918365479,7.466298418414672,49.89020389121113,360000,1777.185629179044
-1.2714321e-05,30.959402157177628,2.5224454402923584,-1011.7705848175101,0.5153696537017822,0.35306453704833984,26.30418062210083,25.41355177218504,22.700072050094604,2406.1830430151895,-0.005111804,5,445.1866846869434,0.7264102,10000,20,0.0010280609130859375,28.816536909446217,0.8636903,1.5672671794891357,166.5243785381317,22.031167023546928,1.078263282775879,9,0.3830571174621582,0.6911017894744873,2.056265622080391,691.6953315509988,400000,1888.1569614443347
