LossBefore,Iteration,ModelSampler-n_timesteps,Policy-MinReturn,Policy-AverageAbsPolicyMean,Data-EnvTrajs-AverageDiscountedReturn,n_timesteps,Policy-StdReturn,Time,Policy-MaxReturn,Policy-AveragePolicyStd,Data-TimeEnvSampling,Policy-TimeSampling,Model-TimeModelFit,ItrTime,Policy-AverageDiscountedReturn,Policy-TimeStep,Data-EnvTrajs-NumTrajs,Policy-NumTrajs,Data-EnvSampler-EnvExecTime,Policy-TimeSampleProc,Data-EnvTrajs-MaxReturn,Data-EnvTrajs-AverageReturn,Policy-TimeAlgoOpt,LossAfter,Policy-AverageReturn,Data-EnvTrajs-MinReturn,Data-TimeEnvSampleProc,Data-EnvSampler-PolicyExecTime,Data-EnvTrajs-StdReturn
-1.3993712e-05,0,40000,627.7360753118992,0.8157834,-17.646939058207895,1000,19.03435046178398,7.983489990234375,694.6419665515423,0.98128355,0.15838122367858887,3.784785747528076,2.5961756706237793,7.983488321304321,193.6509187562771,5.227099657058716,5,20,0.11291098594665527,0.4383554458618164,-20.44233540057742,-56.207679795615,0.9775314331054688,-0.017832678,662.6580090388655,-109.61133588064914,0.0004649162292480469,0.0358431339263916,30.989028518850432
-1.3657494e-05,1,80000,-62.413160748779774,0.7055254,-32.88940292227155,2000,15.029850645292065,15.156522989273071,-6.237433806061745,0.945996,0.7324323654174805,1.4932503700256348,3.8419289588928223,7.070254802703857,-12.724255228421086,2.4906702041625977,5,20,0.21308374404907227,0.3612687587738037,-14.403754717075747,-74.74184024480466,0.5965869426727295,-0.011716609,-29.625113846734166,-121.89447750931909,0.0009226799011230469,0.49800777435302734,39.80048877612613
-1.3581816e-05,2,120000,-298.9657815694809,0.68285775,-31.12974407068276,3000,632.9296187301981,24.46313786506653,1746.0484572350979,0.9400789,0.6670708656311035,1.5103754997253418,6.1878039836883545,9.302789688110352,186.19454505938708,2.4431817531585693,5,20,0.22502636909484863,0.27991724014282227,-45.10891493546875,-62.17562327349449,0.6150951385498047,-0.016222816,961.3795776676386,-119.2669843504203,0.0006420612335205078,0.4199788570404053,28.60746819384546
-1.33318945e-05,3,160000,1127.230295598507,0.6935812,-26.573560432740756,4000,121.46158502157951,36.098371267318726,1597.8908989429474,0.9185401,0.7269093990325928,1.5344188213348389,8.214032411575317,11.630048990249634,471.7645729009565,2.6808958053588867,5,20,0.22680974006652832,0.5711441040039062,5.994516316596931,-57.87071121412821,0.5409691333770752,-0.014003563,1402.2032374788075,-168.49458915163873,0.0006821155548095703,0.47712039947509766,60.75629427280372
-1.3014687e-05,4,200000,47.71413814276457,0.66883856,-41.52820781501738,5000,132.21002779496732,49.59360384941101,549.4918076694012,0.8896317,0.7374904155731201,1.5506231784820557,10.261024475097656,13.490127086639404,74.57401644644358,2.488805055618286,5,20,0.24083662033081055,0.34328126907348633,-49.07110534775281,-102.75042714394237,0.5391764640808105,-0.013146854,245.01868193931878,-164.38386259502497,0.0007770061492919922,0.47144556045532227,45.486531881847924
-1.2675303e-05,5,240000,-270.9668240994215,0.61838275,-36.19380644907261,6000,35.63047594746961,65.56707668304443,-137.8184519559145,0.8593658,0.8196637630462646,1.5129287242889404,12.791146516799927,15.967812776565552,-78.22566766067162,2.3498916625976562,5,20,0.2551383972167969,0.2673163414001465,-18.393679390998315,-84.95563060046752,0.5499489307403564,-0.014340861,-187.6318919006735,-173.18847781124802,0.0008995532989501953,0.538008451461792,58.01198159123331
-1.2483783e-05,6,280000,-297.61476546525955,0.58402497,-28.836008845195305,7000,51.427533365312755,84.02182793617249,-94.357899710536,0.84035224,0.809988260269165,1.5394518375396729,14.8914794921875,18.435546875,-88.37526925046566,2.7286622524261475,5,20,0.25245094299316406,0.5365769863128662,-23.029051083658057,-53.61069673667204,0.6112475395202637,-0.013176355,-206.89188168160618,-103.23048383861595,0.0009341239929199219,0.5239624977111816,27.19450035401034
-1.2271179e-05,7,320000,-491.3871756196022,0.54352593,-39.47220596386979,8000,45.06363040811109,105.01532125473022,-333.8989234417677,0.82514536,0.9025804996490479,1.5810604095458984,17.349839687347412,20.98600172996521,-176.97580662732997,2.7292017936706543,5,20,0.28294849395751953,0.5228872299194336,-73.13498307325207,-107.77826612062374,0.6029481887817383,-0.013334985,-418.9050346627831,-166.65444870329975,0.0005879402160644531,0.5927479267120361,32.19878549184667
-1.2021179e-05,8,360000,-75.38470175862312,0.53618586,-41.12422782595807,9000,39.5880904598712,128.14837956428528,86.26468385756016,0.8061759,1.0337064266204834,1.5769169330596924,19.536630153656006,23.122957706451416,-2.6148763373863044,2.549191951751709,5,20,0.31849098205566406,0.29715704917907715,-52.87547496597809,-88.7263431343593,0.6516609191894531,-0.014934903,16.938828143849967,-173.00571926740488,0.00110626220703125,0.6835494041442871,42.94519108261004
-1.17189375e-05,9,400000,-232.99891266226768,0.53800344,-30.913553206252722,10000,36.72039994200084,153.40388584136963,-105.03843258321285,0.78208286,0.8901865482330322,1.6392693519592285,21.605701446533203,25.233530521392822,-74.87548721029175,2.7222540378570557,5,20,0.2801697254180908,0.43405580520629883,-6.435848511114949,-67.35252184518613,0.6015946865081787,-0.01519794,-171.33085515815765,-118.43471004265837,0.0005717277526855469,0.5814993381500244,38.936121700160186
