Data-EnvTrajs-NumTrajs,Policy-AverageAbsPolicyMean,Model-TimeModelFit,Iteration,Policy-MinReturn,Policy-TimeSampleProc,n_timesteps,ModelSampler-n_timesteps,Policy-StdReturn,Data-EnvTrajs-MaxReturn,Policy-MaxReturn,Policy-TimeStep,Data-EnvTrajs-AverageReturn,Policy-AveragePolicyStd,Policy-AverageReturn,Data-EnvSampler-EnvExecTime,LossAfter,Data-TimeEnvSampleProc,Data-TimeEnvSampling,Policy-TimeSampling,Data-EnvTrajs-StdReturn,Policy-TimeAlgoOpt,ItrTime,LossBefore,Data-EnvTrajs-AverageDiscountedReturn,Policy-AverageDiscountedReturn,Time,Data-EnvSampler-PolicyExecTime,Data-EnvTrajs-MinReturn,Policy-NumTrajs
5,0.9828688,2.532013177871704,0,10788.004160672426,0.3879830837249756,1000,40000,137.60251342479364,-15.565641851195554,11307.91632783413,4.793518304824829,-48.127837415579364,1.0011048,11133.430453778059,0.11687064170837402,-0.015855905,0.000469207763671875,0.16229963302612305,3.5455269813537598,27.148563340463586,0.8350179195404053,7.493258714675903,-1.4199104e-05,-19.422238923164535,3858.301394588535,7.49325966835022,0.03592705726623535,-98.11934249270124,20
5,0.6758881,3.534093141555786,1,-266.89532847702503,0.3237574100494385,2000,80000,26.31682373942379,-26.73334888692035,-164.58251832425594,2.4248270988464355,-83.91771409918927,0.98873925,-211.05039063692092,0.24906635284423828,-0.015370989,0.0005505084991455078,0.9713525772094727,1.5242466926574707,46.67054549229457,0.5537128448486328,6.93300986289978,-1.406359e-05,-32.89793597447918,-89.82004705400932,14.57625937461853,0.700279712677002,-145.7663470580635,20
5,0.5484819,5.821400880813599,2,-132.7090754210949,0.36801910400390625,3000,120000,18.806839601658034,7.070049472841627,-55.1756289601326,2.3059563636779785,-41.80456504246429,0.9403386,-97.7886601390317,0.27631711959838867,-0.013175311,0.0005862712860107422,1.0021021366119385,1.3793654441833496,31.97580260532714,0.5194010734558105,9.135093450546265,-1.356103e-05,-14.679940756733867,-44.71129221033926,23.71706199645996,0.6998865604400635,-89.78579274831107,20
5,0.67702234,7.618849754333496,3,34.024005986750126,0.4619898796081543,4000,160000,22.475901443770468,-7.366907526033935,148.19948414713144,2.7264792919158936,-65.45979250260193,0.8929938,95.0219419311732,0.3315308094024658,-0.018123608,0.0005371570587158203,1.1560783386230469,1.6175546646118164,62.4361152750178,0.5992186069488525,11.50399374961853,-1.304282e-05,-20.376458800574607,13.434629588095614,35.2291157245636,0.7967879772186279,-185.53872112385108,20
5,0.5122837,9.53110647201538,4,-52.245053835213184,0.3761312961578369,5000,200000,22.46279250794554,-47.236578576216516,23.18203715980053,2.3924448490142822,-89.27811626557597,0.8695937,-4.765665767714381,0.35749387741088867,-0.013846753,0.0005471706390380859,1.1432061195373535,1.4100444316864014,32.322331611346485,0.5685179233551025,13.076252698898315,-1.2796822e-05,-38.04151384566824,-5.308688101533206,48.31030535697937,0.7501773834228516,-120.31758199778253,20
5,0.4592574,12.191712141036987,5,-205.4597530066967,0.5522258281707764,6000,240000,31.498924138829278,-24.93849401473487,-77.58043678104877,2.563594341278076,-57.24758045279729,0.8539761,-151.86759914904832,0.39836955070495605,-0.011958898,0.0006837844848632812,1.375941276550293,1.4361684322357178,24.0543835771777,0.5359644889831543,16.134220123291016,-1.2606399e-05,-19.893742475201577,-64.40174958072467,64.45371460914612,0.9397563934326172,-80.0195231624827,20
5,0.53238386,13.940049886703491,6,-373.179729282856,0.44614315032958984,7000,280000,63.386477463979965,-22.247232247920106,-119.62342722713947,2.814383029937744,-42.931177960611606,0.83848405,-223.40645207241178,0.31328392028808594,-0.014367704,0.0008721351623535156,1.1307098865509033,1.6277427673339844,22.93071294077015,0.670478105545044,17.88838815689087,-1.2439409e-05,-14.997153498528018,-72.48246279618871,82.34638452529907,0.7854659557342529,-87.46105136631434,20
5,0.48484376,16.444091081619263,7,-58.817056976258755,0.3483388423919678,8000,320000,58.20842519487482,42.7410657715894,196.55978137254715,2.598836898803711,-12.569433424004394,0.81921047,32.37700458057225,0.4117915630340576,-0.016502699,0.0007805824279785156,1.3395040035247803,1.5500738620758057,44.02286275857034,0.5981454849243164,20.38530659675598,-1.220594e-05,-6.702221824358668,13.150123507779975,102.75727987289429,0.8921909332275391,-90.63176608520581,20
5,0.4719567,19.410792589187622,8,-164.37449119985104,0.3512735366821289,9000,360000,40.80425291499598,-7.599081138130228,-9.421223003417253,2.404252052307129,-53.43652200554053,0.8031966,-84.8373842941597,0.4048275947570801,-0.014384674,0.0012738704681396484,1.29646897315979,1.4280974864959717,34.56980875184346,0.5944521427154541,23.11670231819153,-1.1989728e-05,-24.633910575990704,-43.2326502906581,125.87887406349182,0.8542191982269287,-98.01259731040736,20
5,0.5149147,20.833652019500732,9,-146.65339832007885,0.34112024307250977,10000,400000,43.24157230120895,-15.72079412367861,40.71114966273308,2.4267709255218506,-64.85177625949882,0.7919969,-62.11463065892458,0.3542616367340088,-0.012972595,0.0012655258178710938,1.247709035873413,1.438112735748291,37.73912358992111,0.5976519584655762,24.512144804000854,-1.1869911e-05,-26.123381774553984,-28.864947407065905,150.39623093605042,0.8579537868499756,-122.43575167037149,20
