Policy-TimeSampling,Time,ItrTime,ModelSampler-n_timesteps,Data-EnvTrajs-NumTrajs,n_timesteps,Policy-AverageReturn,Data-EnvSampler-PolicyExecTime,Policy-StdReturn,Policy-MinReturn,LossAfter,Data-TimeEnvSampling,Policy-TimeAlgoOpt,Data-EnvTrajs-AverageDiscountedReturn,Policy-TimeSampleProc,Model-TimeModelFit,Policy-TimeStep,Data-EnvTrajs-AverageReturn,Iteration,Data-TimeEnvSampleProc,Policy-NumTrajs,Data-EnvTrajs-MinReturn,Policy-AveragePolicyStd,Policy-MaxReturn,Data-EnvTrajs-MaxReturn,LossBefore,Policy-AverageAbsPolicyMean,Data-EnvSampler-EnvExecTime,Policy-AverageDiscountedReturn,Data-EnvTrajs-StdReturn
4.48698091506958,9.811034679412842,9.811033010482788,40000,5,1000,-1103.8447139149225,0.04285097122192383,289.0952626552868,-1341.5365782829467,-0.004050891,0.1971297264099121,1.1229910850524902,1.9282956867129442,0.6030094623565674,3.347609281539917,6.264055967330933,0.8108758149257282,0,0.0005669593811035156,20,-6.447819806619648,0.9798422,-166.9408823638223,6.15139729089481,-1.4006061e-05,0.48421675,0.1428844928741455,-242.96352001820688,4.223843896689625
1.6896750926971436,18.09363579750061,8.173194646835327,80000,5,2000,-132.1926783744304,0.5206682682037354,335.5922198316259,-1499.8077369004022,-0.0026888254,0.7741656303405762,0.4897892475128174,-3.6699616161016415,0.4851415157318115,4.673248767852783,2.7226366996765137,-7.182479294380833,1,0.0010595321655273438,20,-14.77819190434019,0.96429104,57.02174919034587,3.869727056931021,-1.3818147e-05,0.38059464,0.23069167137145996,-32.136779167410154,8.15733150453495
1.7358059883117676,28.7906014919281,10.693439483642578,120000,5,3000,2415.4691625159858,0.4143409729003906,159.9513210657402,2066.4568141768686,-0.008828862,0.6616277694702148,0.5460209846496582,1.442701597648485,0.585050106048584,7.133833169937134,2.8921265602111816,4.236138356206865,2,0.0006694793701171875,20,-2.580860541052295,0.9455801,2627.9916365807876,12.375744219666126,-1.3633449e-05,0.67163074,0.22555160522460938,660.2265950865994,5.153230993228768
1.8688902854919434,40.88812065124512,12.093423128128052,160000,5,4000,-121.60638463540359,0.44187331199645996,417.6651413418411,-1941.0957360751927,-0.0021438573,0.719773530960083,0.5486183166503906,0.3203777592401456,0.3530747890472412,8.575438022613525,2.7927188873291016,-1.9595657982442383,3,0.0010275840759277344,20,-7.850829225895109,0.93776184,5.721172703313641,3.935172913505684,-1.3543899e-05,0.5245146,0.2554032802581787,-25.38318035577617,4.360859233336279
1.6793243885040283,55.73896145820618,14.84463119506836,200000,5,5000,-112.12843740026892,0.4196922779083252,500.6361705472809,-2294.030496583786,-0.00417935,0.6862380504608154,0.6348073482513428,0.9740641922348192,0.3733789920806885,11.423301219940186,2.7315592765808105,-0.4882326313308649,4,0.0009508132934570312,20,-12.018651193716183,0.93659776,26.36588850861881,10.571034779180684,-1.3529444e-05,0.5145407,0.2437601089477539,-31.099402709465505,8.480888208840518
1.7441847324371338,72.27108192443848,16.515032529830933,240000,5,6000,-550.5740773115147,0.47718310356140137,1610.0960822282884,-5954.508084424771,-0.0055423784,0.7683825492858887,0.6192069053649902,1.2519857887720574,0.44829297065734863,12.895241022109985,2.8481836318969727,2.2355574861108494,5,0.0007984638214111328,20,-8.464107790756136,0.9264828,-5.751585800084285,12.951713014126936,-1.34127185e-05,0.820077,0.26516008377075195,-167.16381532831133,6.956887536548781
1.5486299991607666,90.61362981796265,18.336181163787842,280000,5,7000,37.065895826168706,0.5165565013885498,12.80543180383927,13.533139172475785,-0.003640034,0.8134300708770752,0.5360813140869141,11.295894173250128,0.37325263023376465,15.03792953491211,2.4797871112823486,25.935258531357686,6,0.0009889602661132812,20,16.930910795485573,0.9147743,64.32119078282267,37.30862345230992,-1.3288975e-05,0.9329594,0.270993709564209,15.17117692354861,7.048105704196267
1.5379226207733154,111.58635592460632,20.957854747772217,320000,5,8000,54.49413815230655,0.6136636734008789,5.5188605093079754,44.25394722633064,-0.0026645192,0.93227219581604,0.5149931907653809,8.770249409169981,0.49043774604797363,17.443644523620605,2.5787250995635986,19.413817488642774,7,0.0009398460388183594,20,16.933625125917864,0.8924043,64.37773109576665,23.961376748992954,-1.3055362e-05,1.1709673,0.2895388603210449,23.515653542529915,2.493350281112193
1.7538516521453857,135.0227029323578,23.43039035797119,360000,5,9000,76.71636092929111,0.6857810020446777,9.973421889923708,61.32213217765093,-0.0035813116,1.0311238765716553,0.5821328163146973,11.48473608976525,0.48197150230407715,19.552550792694092,2.8424906730651855,26.44711967678386,8,0.0022192001342773438,20,16.371710607937395,0.8582008,98.07751001464203,38.23915793459277,-1.2642236e-05,1.420834,0.31441211700439453,34.19789664572869,7.173106152979248
1.7103583812713623,160.9520242214203,25.918758392333984,400000,5,10000,109.55958044603321,0.8978433609008789,18.412698430430808,74.168821121566,-0.0026723363,1.2957987785339355,0.5256400108337402,14.63884938261051,0.578681230545044,21.769516944885254,2.8499011993408203,24.936145545097304,9,0.0009865760803222656,20,9.618808037618658,0.8315234,137.572303728899,45.58479655774173,-1.2371061e-05,1.4338782,0.3623332977294922,40.91689956383115,14.073910934482306
