Data-EnvSampler-PolicyExecTime,Data-EnvSampler-EnvExecTime,Policy-AverageReturn,Policy-AverageDiscountedReturn,Policy-TimeAlgoOpt,Data-EnvTrajs-StdReturn,Data-EnvTrajs-NumTrajs,LossBefore,Data-TimeEnvSampling,Policy-StdReturn,Data-EnvTrajs-AverageDiscountedReturn,ItrTime,Policy-MaxReturn,LossAfter,Data-EnvTrajs-MaxReturn,Policy-TimeSampleProc,Data-EnvTrajs-AverageReturn,Policy-AverageAbsPolicyMean,Policy-AveragePolicyStd,Data-TimeEnvSampleProc,Policy-MinReturn,Model-TimeModelFit,n_timesteps,Iteration,Policy-TimeSampling,Data-EnvTrajs-MinReturn,Policy-TimeStep,Policy-NumTrajs,Time,ModelSampler-n_timesteps
0.04075884819030762,0.1913156509399414,-5393139.3506387845,-2102025.0532521578,1.219357967376709,64.06952553771373,5,-1.3811107e-05,0.24305009841918945,35608.72649528177,-77.90535013381677,9.572574615478516,-5327821.166703671,-0.0073652556,-171.82974501134296,0.424328088760376,-283.85890452846246,1.0634454,0.9644881,0.0005056858062744141,-5453995.008088112,3.097264289855957,1000,0,4.533085346221924,-339.48318987625424,6.230096101760864,20,9.572575807571411,40000
0.6404216289520264,0.3274116516113281,-5178214.659359952,-1924881.6779664706,0.5777449607849121,108.88102382178295,5,-1.3559164e-05,0.9929769039154053,24716.77612539523,-98.52727806536704,8.159301996231079,-5140476.353195071,-0.005910823,-152.2876520515174,0.38471341133117676,-366.9203011728,0.9709371,0.9385376,0.0008745193481445312,-5220335.159570813,4.630616903305054,2000,1,1.532078504562378,-440.2854094349611,2.532576084136963,20,17.85520076751709,80000
0.540438175201416,0.3384881019592285,-2990481.549168491,-742031.1481753073,0.5462205410003662,18.59133039140605,5,-1.3415423e-05,0.9051697254180908,811544.4914007687,-123.1118207773504,9.849170923233032,-493117.1484462023,-0.006847385,-387.3869183669961,0.3530690670013428,-408.2138894847304,0.6501178,0.92654663,0.0008561611175537109,-4439739.551017523,6.524472236633301,3000,2,1.4737377166748047,-441.73052390453404,2.4168334007263184,20,27.711398124694824,120000
0.496931791305542,0.32097458839416504,-3465946.007721768,-980719.9132645605,0.5369045734405518,35.95249216842696,5,-1.3244285e-05,0.8437285423278809,1097737.2757427234,-124.88219931451731,12.182745695114136,-1210486.6046581864,-0.0029753852,-372.29559184911426,0.40560221672058105,-430.0730955598689,0.56823486,0.9108076,0.0009417533874511719,-4667590.171526939,8.80581521987915,4000,3,1.5379831790924072,-468.3936095201558,2.5303080081939697,20,39.9025993347168,160000
0.49307823181152344,0.3338809013366699,-161164.45880104974,-39632.0926094874,0.4730339050292969,21.9059471493034,5,-1.3140224e-05,0.8535113334655762,700259.488846667,-135.8699753593052,14.073649406433105,-413.08461767435074,-0.003473273,-426.26691131532414,0.649925708770752,-455.09736092398197,0.3971542,0.90025735,0.0010406970977783203,-3213524.799946785,10.668487787246704,5000,4,1.4035248756408691,-488.327346481365,2.5484561920166016,20,53.97979664802551,200000
0.46936511993408203,0.3203771114349365,-709226.1215784985,-175230.29441628754,0.581777811050415,10.457012080258098,5,-1.3129231e-05,0.8138086795806885,1323124.940964901,-122.43389646577434,16.119715213775635,-265.6024457514286,-0.005796197,-375.83191655298526,0.5189871788024902,-393.6364152038196,0.41429988,0.9001968,0.0009369850158691406,-3831077.3393702507,12.477165460586548,6000,5,1.6955575942993164,-406.5830244975448,2.8250732421875,20,70.10520076751709,240000
0.37563419342041016,0.2770369052886963,-1763283.839700589,-414365.802307106,0.6038930416107178,12.25930497336064,5,-1.3042626e-05,0.6735763549804688,1451412.2807841715,-122.981903452696,18.065232753753662,-132.2027322500944,-0.004947267,-376.30627971321354,0.4387660026550293,-392.77600230472046,0.5258774,0.892264,0.0007953643798828125,-3714261.3285912275,14.635523796081543,7000,6,1.6290853023529053,-413.8901177034326,2.7519783973693848,20,88.17765259742737,280000
0.37427401542663574,0.2770731449127197,-501.9340847700834,-148.8928911089806,0.6124718189239502,19.01038369572023,5,-1.295689e-05,0.6741619110107422,116.40262486956169,-129.36520236479421,21.04893708229065,-395.1998506784439,-0.004001406,-392.0967544155147,0.5514500141143799,-411.3515054926993,0.53623986,0.88227135,0.0008473396301269531,-959.9170022010803,17.597020149230957,8000,7,1.5471303462982178,-446.35127732675045,2.7693727016448975,20,109.23826026916504,320000
0.39591050148010254,0.28725099563598633,-3188769.481636773,-783761.495958116,0.5861690044403076,13.781384273896489,5,-1.2720371e-05,0.7049708366394043,130899.96087274178,-135.3855607908817,22.232319593429565,-2857343.0242373943,-0.0056050173,-420.46845025802116,0.5435740947723389,-439.1303383416886,0.5048777,0.8645705,0.0009877681732177734,-3408994.190016091,18.56322479248047,9000,8,1.7633349895477295,-458.780429148487,2.9580512046813965,20,131.4790816307068,360000
0.4218301773071289,0.3077402114868164,-357.6296315304935,-101.90296505535352,0.5040464401245117,61.84053578352304,5,-1.2387351e-05,0.7523937225341797,41.53840702484664,-34.55109195441262,24.221373081207275,-281.356341779232,-0.003698215,-144.0906958233693,0.5732662677764893,-213.25205602366404,0.45266747,0.83441615,0.0007970333099365234,-447.5685207992792,20.726704835891724,10000,9,1.6038508415222168,-316.29557361098836,2.7392592430114746,20,155.70678615570068,400000
